name,url,muscle_group,equipment
Bench Press (Dumbbell),https://www.hevyapp.com/exercises/bench-press-dumbbell/,Chest,Dumbbell
Chest Dip (Weighted),https://www.hevyapp.com/exercises/chest-dip-weighted/,Chest,None
Incline Push Ups,https://www.hevyapp.com/exercises/incline-push-ups/,Chest,None
Floor Press (Barbell),https://www.hevyapp.com/exercises/floor-press-barbell/,Chest,Barbell
Bench Press - Wide Grip (Barbell),https://www.hevyapp.com/exercises/wide-grip-bench-press/,Chest,Barbell
Plate Press,https://www.hevyapp.com/exercises/plate-press/,Chest,None
Around The World,https://www.hevyapp.com/exercises/around-the-worlds/,Chest,Dumbbell
Push Up (Weighted),https://www.hevyapp.com/exercises/weighted-push-ups/,Chest,None
Pullover (Dumbbell),https://www.hevyapp.com/exercises/dumbbell-pullover/,Chest,Dumbbell
Decline Bench Press (Dumbbell),https://www.hevyapp.com/exercises/how-to-decline-bench-press-dumbbell/,Chest,Dumbbell
Incline Bench Press (Barbell),https://www.hevyapp.com/exercises/how-to-incline-bench-press-barbell/,Chest,Barbell
Incline Bench Press (Dumbbell),https://www.hevyapp.com/exercises/how-to-incline-bench-press-dumbbell/,Chest,Dumbbell
Chest Dip,https://www.hevyapp.com/exercises/how-to-chest-dip/,Chest,Machine
Bench Press (Barbell),https://www.hevyapp.com/exercises/how-to-bench-press-barbell/,Chest,Barbell
Arnold Press (Dumbbell),https://www.hevyapp.com/exercises/arnold-press-dumbbell/,Shoulders,Dumbbell
Handstand Push Up,https://www.hevyapp.com/exercises/handstand-push-up/,Shoulders,None
Face Pull,https://www.hevyapp.com/exercises/face-pull/,Shoulders,Machine
Seated Overhead Press (Barbell),https://www.hevyapp.com/exercises/seated-overhead-barbell-press/,Shoulders,Barbell
Plate Front Raise,https://www.hevyapp.com/exercises/how-to-plate-front-raise/,Shoulders,Other
Standing Military Press (Barbell),https://www.hevyapp.com/exercises/how-to-standing-military-press-barbell/,Shoulders,Barbell
Push Press,https://www.hevyapp.com/exercises/how-to-push-press/,Shoulders,Barbell
Lateral Raise (Dumbbell),https://www.hevyapp.com/exercises/how-to-lateral-raise-dumbbell/,Shoulders,Dumbbell
Behind the Back Bicep Wrist Curl (Barbell),https://www.hevyapp.com/exercises/behind-the-back-bicep-wrist-curl-barbell/,Biceps,Barbell
Concentration Curl,https://www.hevyapp.com/exercises/concentration-curl/,Biceps,Dumbbell
Plate Curls,https://www.hevyapp.com/exercises/plate-curls/,Biceps,None
Reverse Curl,https://www.hevyapp.com/exercises/reverse-curl/,Biceps,Barbell
Hammer Curl (Band),https://www.hevyapp.com/exercises/hammer-curl-resistance-band/,Biceps,Resistance Band
Zottman Curl (Dumbbell),https://www.hevyapp.com/exercises/how-to-zottman-curl-dumbbell/,Biceps,Dumbbell
Pinwheel Curl (Dumbbell),https://www.hevyapp.com/exercises/how-to-pinwheel-curl-dumbbell/,Biceps,Dumbbell
Bicep Curl (Dumbbell),https://www.hevyapp.com/exercises/how-to-bicep-curl-dumbbell/,Biceps,Dumbbell
Hammer Curl (Dumbbell),https://www.hevyapp.com/exercises/how-to-hammer-curl-dumbbell/,Biceps,Dumbbell
Bicep Curl (Barbell),https://www.hevyapp.com/exercises/how-to-bicep-curl-barbell/,Biceps,Barbell
Bench Press - Close Grip (Barbell),https://www.hevyapp.com/exercises/bench-press-close-grip-barbell/,Triceps,Barbell
Triceps Dip (Weighted),https://www.hevyapp.com/exercises/triceps-dip-weighted/,Triceps,Machine
One-Arm Tricep Extension (Dumbbell),https://www.hevyapp.com/exercises/one-arm-tricep-extension-dumbbell/,Triceps,Dumbbell
Triceps Extension (barbell),https://www.hevyapp.com/exercises/triceps-extension-barbell/,Triceps,Barbell
Skullcrusher (barbell),https://www.hevyapp.com/exercises/skullcrusher-barbell/,Triceps,Barbell
Dumbbell Skullcrusher,https://www.hevyapp.com/exercises/dumbbell-skull-crusher/,Triceps,Dumbbell
Diamond Push Up,https://www.hevyapp.com/exercises/diamond-push-up/,Triceps,None
Ring Dips,https://www.hevyapp.com/exercises/ring-dips/,Triceps,None
Triceps Extension (Suspension),https://www.hevyapp.com/exercises/trx-tricep-extension/,Triceps,Suspension Band
Triceps Rope Pushdown,https://www.hevyapp.com/exercises/how-to-triceps-rope-pushdown/,Triceps,Machine
Triceps Kickback,https://www.hevyapp.com/exercises/how-to-triceps-kickback/,Triceps,Dumbbell
Chest-Supported Incline Row (dumbbell),https://www.hevyapp.com/exercises/chest-supported-incline-row-dumbbell/,Upper Back,Dumbbell
Meadows Row,https://www.hevyapp.com/exercises/meadows-row/,Upper Back,Barbell
Pendlay Row,https://www.hevyapp.com/exercises/pendlay-row/,Upper Back,Barbell
Bent over fly,https://www.hevyapp.com/exercises/bent-over-fly/,Upper Back,Dumbbell
Scapular Pull-ups,https://www.hevyapp.com/exercises/scapular-pull-ups/,Upper Back,None
Dead Hang,https://www.hevyapp.com/exercises/dead-hang/,Upper Back,None
Renegade Row,https://www.hevyapp.com/exercises/how-to-renegade-row/,Upper Back,Dumbbell
T Bar Row,https://www.hevyapp.com/exercises/how-to-t-bar-row/,Upper Back,Barbell
Inverted Row,https://www.hevyapp.com/exercises/how-to-inverted-row/,Upper Back,Machine
Superman,https://www.hevyapp.com/exercises/how-to-superman/,Lower Back,Bodyweight
Rack Pull,https://www.hevyapp.com/exercises/how-to-rack-pull/,Lower Back,Barbell
Sternum Pull up (Gironda),https://www.hevyapp.com/exercises/sternum-pull-up-gironda/,Lats,None
Lat Pulldown (band),https://www.hevyapp.com/exercises/lat-pulldown-band/,Lats,Machine
Pull Up,https://www.hevyapp.com/exercises/pull-up/,Lats,None
Kipping Pull Up,https://www.hevyapp.com/exercises/kipping-pull-up/,Lats,None
Lat Pulldown (Cable),https://www.hevyapp.com/exercises/how-to-lat-pulldown-cable/,Lats,Machine
Lat Pulldown (Machine),https://www.hevyapp.com/exercises/how-to-lat-pulldown-machine/,Lats,Machine
Single Arm Lat Pulldown,https://www.hevyapp.com/exercises/how-to-single-arm-lat-pulldown/,Lats,Machine
Front Lever Raise,https://www.hevyapp.com/exercises/front-lever-raise/,Abdominals,None
heel taps,https://www.hevyapp.com/exercises/heel-taps/,Abdominals,None
Sit Ups,https://www.hevyapp.com/exercises/sit-ups/,Abdominals,None
Russian Twist (weighted),https://www.hevyapp.com/exercises/russian-twist-weighted/,Abdominals,
Hollow Rock Hold,https://www.hevyapp.com/exercises/hollow-rock-hold/,Abdominals,None
Russian Twist (Bodyweight),https://www.hevyapp.com/exercises/russian-twists/,Abdominals,None
Single Leg Hip Thrust,https://www.hevyapp.com/exercises/single-leg-hip-thrust/,Abdominals,None
Knee Raise Parallel Bars,https://www.hevyapp.com/exercises/vertical-knee-raise/,Abdominals,None
Flutter Kicks,https://www.hevyapp.com/exercises/flutter-kicks/,Abdominals,None
Lying Knee Raise,https://www.hevyapp.com/exercises/lying-knee-raises/,Abdominals,None
Leg Raise Parallel Bars,https://www.hevyapp.com/exercises/leg-raises/,Abdominals,Machine
Spiderman,https://www.hevyapp.com/exercises/spiderman-plank/,Abdominals,None
Oblique Crunch,https://www.hevyapp.com/exercises/oblique-crunches/,Abdominals,None
Reverse Plank,https://www.hevyapp.com/exercises/how-to-reverse-plank/,Abdominals,Bodyweight
V Up,https://www.hevyapp.com/exercises/how-to-v-up/,Abdominals,Bodyweight
Decline Crunch,https://www.hevyapp.com/exercises/how-to-decline-crunch/,Abdominals,Bodyweight
Jackknife Sit Up,https://www.hevyapp.com/exercises/how-to-jackknife-sit-up/,Abdominals,Bodyweight
Cable Crunch,https://www.hevyapp.com/exercises/how-to-cable-crunch/,Abdominals,Machine
Sumo Deadlift,https://www.hevyapp.com/exercises/sumo-deadlift/,Quadriceps,Barbell
Kettlebell Goblet Squat,https://www.hevyapp.com/exercises/kettlebell-goblet-squat/,Quadriceps,Kettlebell
Sumo Squat (barbell),https://www.hevyapp.com/exercises/sumo-squat-barbell/,Quadriceps,Barbell
Reverse Lunge,https://www.hevyapp.com/exercises/reverse-lunge/,Quadriceps,None
Split Squat (Dumbbell),https://www.hevyapp.com/exercises/dumbbell-split-squat/,Quadriceps,Dumbbell
Lunge (Barbell),https://www.hevyapp.com/exercises/barbell-lunges/,Quadriceps,Barbell
Sissy Squat,https://www.hevyapp.com/exercises/sissy-squat/,Quadriceps,None
Goblet Squat,https://www.hevyapp.com/exercises/how-to-goblet-squat/,Quadriceps,Barbell
Lunge (Dumbbell),https://www.hevyapp.com/exercises/how-to-lunge-dumbbell/,Quadriceps,Dumbbell
Jump Squat,https://www.hevyapp.com/exercises/how-to-jump-squat/,Quadriceps,Bodyweight
Lunge (Dumbbell),https://www.hevyapp.com/exercises/how-to-lunge-dumbbell/,Quadriceps,Dumbbell
Front Squat,https://www.hevyapp.com/exercises/how-to-front-squat/,Quadriceps,Barbell
Zercher Squat,https://www.hevyapp.com/exercises/how-to-zercher-squat/,Quadriceps,Barbell
Hack Squat,https://www.hevyapp.com/exercises/how-to-hack-squat/,Quadriceps,Barbell
Lateral Squat,https://www.hevyapp.com/exercises/how-to-lateral-squat/,Quadriceps,Bodyweight
Stiff / straight leg deadlift,https://www.hevyapp.com/exercises/stiff-straight-leg-deadlift/,Hamstrings,Barbell
Deadlift (Dumbbell),https://www.hevyapp.com/exercises/dumbbell-deadlift/,Hamstrings,Dumbbell
Standing Leg Curls,https://www.hevyapp.com/exercises/how-to-standing-leg-curls/,Hamstrings,Machine
Single Leg Romanian Deadlift (Dumbbell),https://www.hevyapp.com/exercises/how-to-single-leg-romanian-deadlift-dumbbell/,Hamstrings,Dumbbell
Deadlift (Band),https://www.hevyapp.com/exercises/how-to-deadlift-band/,Hamstrings,Resistance Band
Glute Ham Raise,https://www.hevyapp.com/exercises/how-to-glute-ham-raise/,Hamstrings,Machine
Good Morning (Barbell),https://www.hevyapp.com/exercises/how-to-good-morning-barbell/,Hamstrings,Barbell
Lateral Leg Raises,https://www.hevyapp.com/exercises/lateral-leg-raises/,Glutes,None
Glute Kickback on Floor,https://www.hevyapp.com/exercises/glute-kickback-on-floor/,Glutes,None
Single Leg Glute Bridge,https://www.hevyapp.com/exercises/single-leg-glute-bridge/,Glutes,None
Hip Thrust,https://www.hevyapp.com/exercises/how-to-hip-thrust/,Glutes,Bodyweight
Glute Bridge,https://www.hevyapp.com/exercises/how-to-glute-bridge/,Glutes,Bodyweight
Fire Hydrants,https://www.hevyapp.com/exercises/how-to-fire-hydrants/,Glutes,Bodyweight
Shrug (Barbell),https://www.hevyapp.com/exercises/shrug-barbell/,Traps,Barbell
Upright Row (Barbell),https://www.hevyapp.com/exercises/how-to-upright-row-barbell/,Traps,Barbell
Shrug (Dumbbell),https://www.hevyapp.com/exercises/how-to-shrug-dumbbell/,Traps,Dumbbell
Seated Calf Raises,https://www.hevyapp.com/exercises/seated-calf-raises/,Calves,Machine
Single Leg Standing Calf Raise (Dumbbell),https://www.hevyapp.com/exercises/how-to-single-leg-standing-calf-raise-dumbbell/,Calves,Dumbbell
Calf Press (Machine),https://www.hevyapp.com/exercises/how-to-calf-press-machine/,Calves,Machine
